homenames,home_previous,previous,racsid,service,suburbs,states,post_code,hrefdata
Aegis Balmoral 7872,Balmoral Aged Care Group Pty Ltd,Aegis BanksiaBanksia Park Aged Care,7872,Residential,Como,Western Australia,6152,/services/aegis-balmoral-7872
Aegis Banksia Park 7901,Aegis Aged Care Group Pty Ltd,Bassendean Aged CareBassendean Aged Care Facility,7901,Residential,Calista,Western Australia,6167,/services/aegis-banksia-park-7901
Aegis Bassendean 7864,Aegis Aged Care Group Pty Ltd,Carrington Aged Care Facility,7864,Residential,Bassendean,Western Australia,6054,/services/aegis-bassendean-7864
Aegis Carrington 7874,Carrington Aged Care Facility Pty Ltd,Ellenvale Aged Care,7874,Residential,Hamilton Hill,Western Australia,6163,/services/aegis-carrington-7874
Aegis Ellenvale 7446,Aegis Aged Care Group Pty Ltd,Greenfields Aged Care Facility,7446,Residential,Busselton,Western Australia,6280,/services/aegis-ellenvale-7446
Aegis Greenfields 7235,Aegis Aged Care Group Pty Ltd,Hermitage Aged Care,7235,Residential,Mandurah,Western Australia,6210,/services/aegis-greenfields-7235
Aegis Hermitage 7328,Aegis Aged Care Group Pty Ltd,Aegis HiltonHilton Park Aged Care,7328,Residential,Ellenbrook,Western Australia,6069,/services/aegis-hermitage-7328
Aegis Hilton Park 7431,Aegis Aged Care Group Pty Ltd,Karalee Aged Care,7431,Residential,Hilton,Western Australia,6163,/services/aegis-hilton-park-7431
Aegis Karalee 7448,Aegis Aged Care Group Pty Ltd,Lakeside Aged Care Facility,7448,Residential,Redcliffe,Western Australia,6104,/services/aegis-karalee-7448
Aegis Lakeside 7252,Lakeside Hostel Pty Ltd,Aegis LincolnLincoln Park Aged Care,7252,Residential,Redcliffe,Western Australia,6104,/services/aegis-lakeside-7252
Aegis Lincoln Park 7066,Aegis Aged Care Group Pty Ltd,Melville Aged Care,7066,Residential,Highgate,Western Australia,6003,/services/aegis-lincoln-park-7066
Aegis Melville 7875,Balmoral Aged Care Group Pty Ltd,Parkview Aged Care FacilityParkview Aged Care,7875,Residential,Melville,Western Australia,6156,/services/aegis-melville-7875
Aegis Montgomery 7463,Aegis Aged Care Group Pty Ltd,Sandstrom Aged CareSandstrom Nursing Home,7463,Residential,Mount Claremont,Western Australia,6210,/services/aegis-montgomery-7463
Aegis Parkview 7307,Lakeside Hostel Pty Ltd,Shawford Lodge,7307,Residential,Redcliffe,Western Australia,6104,/services/aegis-parkview-7307
Aegis Shoalwater 7271,Aegis Aged Care Shoalwater Pty Ltd,Shoalwater Aged Care Facility,7271,Residential,Shoalwater,Western Australia,6169,/services/aegis-shoalwater-7271
Aegis St James 7878,Balmoral Aged Care Group Pty Ltd,St James Aged Care,7878,Residential,St James,Western Australia,6102,/services/aegis-st-james-7878
Aegis St Michael's  7757,Aegis Aged Care Group Pty Ltd,St Michael's Residential Care,7757,Residential,North Perth,Western Australia,6006,/services/aegis-st-michaels-7757
Aegis Stirling 7277,Aegis Aged Care Group Pty Ltd,Stirling Aged Care FacilityStirling Aged Care,7277,Residential,Yokine,Western Australia,6060,/services/aegis-stirling-7277
Aegis The Pines 7244,Aegis Aged Care Group Pty Ltd,The Pines Aged Care Facility,7244,Residential,Ellenbrook,Western Australia,6069,/services/aegis-pines-7244
Aegis Woodlake 7325,Aegis Aged Care Group Pty Ltd,Woodlake Aged Care FacilityWoodlake Aged Care,7325,Residential,Kingsley,Western Australia,6026,/services/aegis-woodlake-7325
Agmaroy Nursing Home 7913,Hamersley Nursing Home (WA) Pty Ltd,Taara GardensEstonian Village Hostel,7913,Residential,Wilson,Western Australia,6107,/services/agmaroy-nursing-home-7913
Agris Hutrof House 0167,RSL LifeCare Limited,Ainslie Low Head HostelAinslie House Hostel,0167,Residential,Thirlmere,New South Wales,2572,/services/agris-hutrof-house-0167
Ainsley Nursing Home 2004,Siva Kolunthu Pty Limited,Ainslie Low Head Nursing HomeAinslie Nursing Home,2004,Residential,Burwood,New South Wales,2134,/services/ainsley-nursing-home-2004
Ainslie House 0768,Inasmuch Community Limited,Bimbimbie Retirement Village,0768,Residential,Sussex Inlet,New South Wales,2540,/services/ainslie-house-0768
Ainslie Low Head 8025,Southern Cross Care (Tas) Inc,Blackwood Cottage,8025,Residential,Low Head,Tasmania,7253,/services/ainslie-low-head-8025
Ainslie Low Head 8810,Southern Cross Care (Tas) Inc,Alcheringa Hostel,8810,Residential,Low Head,Tasmania,7253,/services/ainslie-low-head-8810
Akooramak Care of Older Persons 5084,Warwick Benevolent Society Inc,Aldersgate LowcareAldersgate Village,5084,Residential,Warwick,Queensland,4370,/services/akooramak-care-older-persons-5084
Alan David Lodge 4445,Barwon Health,Aldinga Beach Court Hostel,4445,Residential,Grovedale,Victoria,3216,/services/alan-david-lodge-4445
Alexander Aged Care 0561,Armenian Rest Home Association Ltd,Dean LodgeDean Lodge Nursing Home,0561,Residential,Brookvale,New South Wales,2100,/services/alexander-aged-care-0561
Alexander Campbell House 0067,The Churches of Christ Property Trust,Bushland Place Hostel,0067,Residential,Forestville,New South Wales,2087,/services/alexander-campbell-house-0067
Algester Lodge 5364,The Renton Family Trust No. 1,The Vales Aged Care Facility,5364,Residential,Algester,Queensland,4115,/services/algester-lodge-5364
Alice Ross-King Care Centre 7790,Air Force Association (Western Australian Division) Incorporated,Allambi Elderly Peoples Home Inc,7790,Residential,Bull Creek,Western Australia,6149,/services/alice-ross-king-care-centre-7790
Alkira Gardens 1021,The Sisters of Our Lady of China Health Care Pty Ltd,Martin Luther Hostel,1021,Residential,Miranda,New South Wales,2228,/services/alkira-gardens-1021
Alkira Lodge 0165,Bushland Health Group Limited,Allawah Lodge Aged Persons Hostel,0165,Residential,Taree,New South Wales,2430,/services/alkira-lodge-0165
All Care Aged Care The Vales 6933,Tickled Pink Aged Care Pty Ltd,Alloa Aged Care,6933,Residential,Morphett Vale,South Australia,5162,/services/all-care-aged-care-vales-6933
All Good Care 701061,All Good Care Pty Ltd,Aloaka LodgeAloaka Lodge Hostel,701061,Home services,Chermside,Queensland,4032,/services/all-good-care-701061
Allambee Nursing Home Kingston Centre 3373,Monash Health,Kressville Lodge Hostel,3373,Residential,Cheltenham,Victoria,3192,/services/allambee-nursing-home-kingston-centre-3373
Alwyndor Aged Care - City of Holdfast Bay 6931,City of Holdfast Bay,Alwyndor Aged CareAlwyndor Nursing Home,6931,Residential,Hove,South Australia,5048,/services/alwyndor-aged-care-city-holdfast-bay-6931
Amaroo Aged Care Facility 2433,Hunter Valley Care Pty Ltd,Amaroo Village Buckley,2433,Residential,Charlestown,New South Wales,2290,/services/amaroo-aged-care-facility-2433
Amaroo Gardens - Aged Care Facility 3046 (Closed),Wickro Pty Ltd,Amaroo Village McMahon,3046,Residential,Ferntree Gully,Victoria,3156,/services/amaroo-gardens-aged-care-facility-3046-closed
Amaroo Village Buckley Caring Centre 7093,Amaroo Care Services Inc,Amber Aged Care IncBaltic Communities HomeBaltic Communities Homes,7093,Residential,Gosnells,Western Australia,6110,/services/amaroo-village-buckley-caring-centre-7093
Amaroo Village McMahon Caring Centre 7909,Amaroo Care Services Inc,Kooluna Nursing Home,7909,Residential,Gosnells,Western Australia,6110,/services/amaroo-village-mcmahon-caring-centre-7909
Amber Aged Care 6137,Amber Aged Care Incorporated,Andrew Kerr Care LtdAndrew Kerr Frail and Aged Care ComplexAndrew Kerr Frail and Aged Care Complex Inc,6137,Residential,Paradise,South Australia,5075,/services/amber-aged-care-6137
Aminya Village Hostel 6136,Mid Murray Homes for the Aged Inc,Bishop Tyrrell Place,6136,Residential,Mannum,South Australia,5238,/services/aminya-village-hostel-6136
Anam Cara 5355,The Uniting Church in Australia Property Trust (Q.),Anglican Care C A BrownAnglican Care C A Brown Nursing Home C A Brown Nursing Home and Hostel,5355,Residential,Bray Park,Queensland,4500,/services/anam-cara-5355
Ananda Aged Care Findon 6861,K N H Nominees Pty Ltd,Anglican Care Carey Bay VillageCarey Bay Village,6861,Residential,Findon,South Australia,5023,/services/ananda-aged-care-findon-6861
Ananda Hope Valley Residential Care 6810,Prabhash Nominees Pty Ltd,Great Lakes Nursing HomeGreat Lakes Nursing Home Inc,6810,Residential,Hope Valley,South Australia,5090,/services/ananda-hope-valley-residential-care-6810
Andrew Kerr Care  3530,Andrew Kerr Care Ltd,Anglican Care Greenmount Gardens HostelGreenmount Gardens Hostel,3530,Residential,Mornington,Victoria,3931,/services/andrew-kerr-care-3530
Andrews House 3387,West Gippsland Healthcare Group,Anglican Care Jesmond Grove HostelJesmond Grove Hostel,3387,Residential,Trafalgar,Victoria,3824,/services/andrews-house-3387
Anglican Care Bishop Tyrrell Place 0896,Anglican Care,Kilpatrick Court,0896,Residential,Cundletown,New South Wales,2430,/services/anglican-care-bishop-tyrrell-place-0896
Anglican Care C A Brown 2365,Anglican Care,Anglican Care McIntosh HostelC A Brown Village - McIntoshC A Brown Village - McIntosh Hostel,2365,Residential,Booragul,New South Wales,2284,/services/anglican-care-c-brown-2365
Anglican Care Scenic Lodge Merewether 0900,Anglican Care,Storm Village (Storm Lodge),0900,Residential,Merewether,New South Wales,2291,/services/anglican-care-scenic-lodge-merewether-0900
Anglican Care Storm Village 0230,Anglican Care,Toronto Nursing Home,0230,Residential,Taree,New South Wales,2430,/services/anglican-care-storm-village-0230
Anglican Care Toronto Nursing Home 2733,Anglican Care,Anglican Care Warnervale Gardens HostelWarnervale Gardens Hostel,2733,Residential,Toronto,New South Wales,2283,/services/anglican-care-toronto-nursing-home-2733
Anglican Care Warnervale Gardens 0645,Anglican Care,Anglicare Abri Home for the AgedSpiritus Abri Home for the Aged,0645,Residential,Woongarrah,New South Wales,2259,/services/anglican-care-warnervale-gardens-0645
Anglicare SQ Abri Home for the Aged 5117,The Corporation of the Synod of the Diocese of Brisbane,Anglicare Edwin Marsden Tooth Memorial Home For AgedSpiritus Edwin Marsden Tooth Memorial Home for Aged,5117,Residential,Southport,Queensland,4215,/services/anglicare-sq-abri-home-aged-5117
Anglicare SQ Edwin Marsden Tooth Memorial Home For Aged 5053,The Corporation of the Synod of the Diocese of Brisbane,Anglicare SQ  Kirami Home for the AgedAnglicare Kirami Home for the AgedSpiritus Kirami Home for the Aged,5053,Residential,Manly,Queensland,4179,/services/anglicare-sq-edwin-marsden-tooth-memorial-home-aged-5053
Anglicare SQ Kirami Home for the Aged 5243,The Corporation of the Synod of the Diocese of Brisbane,Anglicare Meilene Home For The AgedSpiritus Meilene Home For The Aged,5243,Residential,Point Vernon,Queensland,4655,/services/anglicare-sq-kirami-home-aged-5243
Anglicare SQ Meilene Home For The Aged 5259,The Corporation of the Synod of the Diocese of Brisbane,Anglicare St John's Home For Aged MenSpiritus St Johns Home For Aged MenSpiritus St John's Home For Aged Men,5259,Residential,Kalkie,Queensland,4670,/services/anglicare-sq-meilene-home-aged-5259
Anglicare SQ St John's Home For Aged Men  5050,The Corporation of the Synod of the Diocese of Brisbane,Anglicare St Martin's Nursing HomeSpiritus St Martin's Nursing Home,5050,Residential,Toowong,Queensland,4066,/services/anglicare-sq-st-johns-home-aged-men-5050
Anglicare SQ St Martin's Nursing Home 5999,The Corporation of the Synod of the Diocese of Brisbane,Anglicare Symes Grove Home for the AgedSpiritus Symes Grove Home for the Aged,5999,Residential,Taigum,Queensland,4018,/services/anglicare-sq-st-martins-nursing-home-5999
Anglicare SQ Symes Grove Home for the Aged 5051,The Corporation of the Synod of the Diocese of Brisbane,Anglicare Symes Thorpe Home For the AgedSpiritus Symes Thorpe Home For the Aged,5051,Residential,Taigum,Queensland,4018,/services/anglicare-sq-symes-grove-home-aged-5051
Anglicare SQ Symes Thorpe Home for the Aged 5052,The Corporation of the Synod of the Diocese of Brisbane,Ian George Court,5052,Residential,Toowoomba,Queensland,4350,/services/anglicare-sq-symes-thorpe-home-aged-5052
AnglicareSA Brompton 6195,Anglicare SA Inc,Dutton Court Hostel,6195,Residential,Brompton,South Australia,5007,/services/anglicaresa-brompton-6195
AnglicareSA Elizabeth - Dutton Court 6162,Anglicare SA Inc,Canterbury Close,6162,Residential,Elizabeth East,South Australia,5112,/services/anglicaresa-elizabeth-dutton-court-6162
AnglicareSA Elizabeth East 6963,Anglicare SA Inc,St Laurence's Court Nursing Home,6963,Residential,Elizabeth East,South Australia,5112,/services/anglicaresa-elizabeth-east-6963
AnglicareSA Grange 6779,Anglicare SA Inc,Grandview CourtAll Hallows Court Nursing Home,6779,Residential,Grange,South Australia,5022,/services/anglicaresa-grange-6779
AnglicareSA Trott Park 6929,Anglicare SA Inc,All Hallows Court Residential CareAnglicare SA Illoura,6929,Residential,Trott Park,South Australia,5158,/services/anglicaresa-trott-park-6929
AnglicareSA Westbourne Park  6204,Anglicare SA Inc,Annie Lockwood Court Hostel,6204,Residential,Westbourne Park,South Australia,5041,/services/anglicaresa-westbourne-park-6204
Anthem 0888,TBG Senior Living Services Pty Ltd,Anzac Lodge Nursing Home,0888,Residential,Bowral,New South Wales,2576,/services/anthem-0888
Anzac Lodge Private Nursing Home 4533,Java Dale Pty Ltd,Arcare Westwood 3695,4533,Residential,Coburg North,Victoria,3058,/services/anzac-lodge-private-nursing-home-4533
Arcare Brighton 4131,Arcare Pty Ltd,Arcare Lauriston,4131,Residential,Brighton,Victoria,3186,/services/arcare-brighton-4131
Arcare Burnside 3695,Arcare Pty Ltd,Arcare Sandfield,3695,Residential,Burnside,Victoria,3023,/services/arcare-burnside-3695
Arcare Caboolture 5773,Arcare Pty Ltd,Arcare Warrigal,5773,Residential,Caboolture,Queensland,4510,/services/arcare-caboolture-5773
Arcare Carnegie 3802,Arcare Pty Ltd,Arcare GreenhillArcare Greenhill - Epping,3802,Residential,Carnegie,Victoria,3163,/services/arcare-carnegie-3802
Arcare Caulfield 3962,Arcare Pty Ltd,St Remy at Helensvale,3962,Residential,Caulfield North,Victoria,3161,/services/arcare-caulfield-3962
Arcare Cheltenham 3616,Arcare Pty Ltd,Arcare Delbridge,3616,Residential,Cheltenham,Victoria,3192,/services/arcare-cheltenham-3616
Arcare Craigieburn 3970,Arcare Pty Ltd,Magnolia Manor Aged Care,3970,Residential,Craigieburn,Victoria,3064,/services/arcare-craigieburn-3970
Arcare Eight Mile Plains 5353,K & M Healthcare Pty Ltd,Arcare Hampstead,5353,Residential,Eight Mile Plains,Queensland,4113,/services/arcare-eight-mile-plains-5353
Arcare Epping 3770,Arcare Pty Ltd,Arcare NirvanaArcare on Nirvana,3770,Residential,Epping,Victoria,3076,/services/arcare-epping-3770
Arcare Maroochydore 5379,Arcare Pty Ltd,Arcare EndeavourArcare on Endeavour,5379,Residential,Maroochydore,Queensland,4558,/services/arcare-maroochydore-5379
Arcare Nirvana Avenue 4564,Arcare Pty Ltd,Arcare Chadstone,4564,Residential,Malvern East,Victoria,3145,/services/arcare-nirvana-avenue-4564
Arcare North Lakes 5587,Arcare Pty Ltd,Arcare Peregian,5587,Residential,North Lakes,Queensland,4509,/services/arcare-north-lakes-5587
Arcare North Shore 5810,Arcare Pty Ltd,Arcare Bellarine,5810,Residential,Burdell,Queensland,4818,/services/arcare-north-shore-5810
Arcare Oatlands 1065,Arcare Pty Ltd,Ann Nichol House Hostel,1065,Residential,Oatlands,New South Wales,2117,/services/arcare-oatlands-1065
Arcare Parkinson 5417,Arcare Pty Ltd,Arcare Latrobe,5417,Residential,Parkinson,Queensland,4115,/services/arcare-parkinson-5417
Arcare Parkview Malvern East 3991,Arcare Pty Ltd,Arcare RegencyArcare Sanctuary CoveArcare SanctuaryRitz Care Centre,3991,Residential,Malvern East,Victoria,3145,/services/arcare-parkview-malvern-east-3991
Arcare Parkwood 5440,Arcare Pty Ltd,Arcare LoganArcare at Logan,5440,Residential,Parkwood,Queensland,4214,/services/arcare-parkwood-5440
Arcare Peregian Springs 5374,Arcare Pty Ltd,St James Park Care Centre,5374,Residential,Peregian Springs,Queensland,4573,/services/arcare-peregian-springs-5374
Arcare Pimpama 5761,Arcare Pty Ltd,Arcare Overton Lea,5761,Residential,Pimpama,Queensland,4209,/services/arcare-pimpama-5761
Arcare Taigum 5891,Arcare Pty Ltd,Archbold House Hostel,5891,Residential,Taigum,Queensland,4018,/services/arcare-taigum-5891
Arcare Templestowe 3255,Arcare Pty Ltd,Ashley House Lodge,3255,Residential,Templestowe,Victoria,3106,/services/arcare-templestowe-3255
Arcare Warriewood 0935,Arcare Pty Ltd,Ashmore Lodge,0935,Residential,Warriewood,New South Wales,6004,/services/arcare-warriewood-0935
Archbishop Goody Hostel 7111,Catholic Homes Incorporated,Ashwood Residential Care ServicesAshwood Aged Care Facility,7111,Residential,East Perth,Western Australia,2069,/services/archbishop-goody-hostel-7111
Archbold House Aged Care Facility 0147,KOPWA Limited,Ashworth House Nursing Home,0147,Residential,Roseville,New South Wales,3419,/services/archbold-house-aged-care-facility-0147
Assisi Centre Aged Care 3364,Assisi Centre Limited,Alcheringa Hostel,3364,Residential,Rosanna,Victoria,3084,/services/assisi-centre-aged-care-3364
Aubrey Downer Aged Care Home 0137,Fresh Fields Aged Care (NSW) - No 1 Pty Ltd,Mathew John Aged Care FacilityMatthew John Aged Care Facility,0137,Residential,Point Clare,New South Wales,2250,/services/aubrey-downer-aged-care-home-0137
Auburn House 4491,St Vincent's Hospital (Melbourne) Limited,Healesville Aged Care FacilityMowby Healesville Aged Care Facility,4491,Residential,Hawthorn East,Victoria,3123,/services/auburn-house-4491
Aurrum Brunswick 3975,Aurrum Pty Limited,Veronica Nursing Home,3975,Residential,Brunswick East,Victoria,3055,/services/aurrum-brunswick-3975
Aurrum Erina 0572,Aurrum Pty Limited,Legacy Aged Care - Norah Head,0572,Residential,Erina,New South Wales,2250,/services/aurrum-erina-0572
Aurrum Healesville 3943,Aurrum Pty Limited,Aberdeen Aged Care Facility,3943,Residential,Healesville,Victoria,3777,/services/aurrum-healesville-3943
Aurrum Kincumber 2766,Aurrum Pty Limited,Legacy Aged Care - Wyoming,2766,Residential,Kincumber,New South Wales,2251,/services/aurrum-kincumber-2766
Aurrum Norah Head 0234,Aurrum Pty Limited,Aveo Durack Aged Care Facility,0234,Residential,Norah Head,New South Wales,2263,/services/aurrum-norah-head-0234
Aurrum Plenty 4569,Aurrum Pty Limited,Aveo Minkara Aged Care FacilityMinkara Residential Aged Care Facility,4569,Residential,Plenty,Victoria,3090,/services/aurrum-plenty-4569
Aurrum Reservoir 3647,Aurrum Pty Limited,Aveo Newstead Aged Care,3647,Residential,Reservoir,Victoria,3073,/services/aurrum-reservoir-3647
Avoca Hostel 3266,Maryborough District Health Service,Avondale Adventist Aged Care Facility,3266,Residential,Avoca,Victoria,3467,/services/avoca-hostel-3266
Avoca Nursing Home 4366,Maryborough District Health Service,Bairnsdale Regional Health Service Nursing Home,4366,Residential,Avoca,Victoria,3467,/services/avoca-nursing-home-4366
Avondale House  2411,Seventh-day Adventist Aged Care (North New South Wales) Ltd,Hibernian Aged CareHibernian Nursing Home,2411,Residential,Cooranbong,New South Wales,2265,/services/avondale-house-2411
Avonlea Grange Hostel 3551,Allity Pty Ltd,Bambra House Nursing Home,3551,Residential,Mentone,Victoria,3194,/services/avonlea-grange-hostel-3551
Avonlea Hostel 3002,Respect Group Limited,Banfields Aged Care Facility,3002,Residential,Nhill,Victoria,3418,/services/avonlea-hostel-3002
Baptcare - Northaven Community 3301,Baptcare Ltd,Abbey Gardens Aged Care,3301,Residential,Kerang,Victoria,3579,/services/baptcare-northaven-community-3301
Baptcare - St Hilary's Community 4549,Baptcare Ltd,Amberlea Aged Care Facility,4549,Residential,Morwell,Victoria,3840,/services/baptcare-st-hilarys-community-4549
Baptcare - Strathalan Community 3630,Baptcare Ltd,Heritage Manor Aged Care,3630,Residential,Macleod,Victoria,3085,/services/baptcare-strathalan-community-3630
Baptcare - Westhaven Community 3601,Baptcare Ltd,Baptcare Karingal CommunityBaptcare Karingal Community HostelBaptcare -  Karingal Community Hostel,3601,Residential,Footscray,Victoria,3011,/services/baptcare-westhaven-community-3601
Baptcare Abbey Gardens Community 3989,Baptcare Ltd,Lorikeet Lodge,3989,Residential,Warragul,Victoria,3820,/services/baptcare-abbey-gardens-community-3989
Baptcare Amberlea Community 3643,Baptcare Ltd,Baptcare - The Orchards Community,3643,Residential,Drouin,Victoria,3818,/services/baptcare-amberlea-community-3643
Baptcare Brookview Community 4572,Baptcare Ltd,Wyndham Lodge Community Aged Care Inc,4572,Residential,Westmeadows,Victoria,3049,/services/baptcare-brookview-community-4572
Baptcare Coasthaven Community 4590,Baptcare Ltd,BCS Aminya Centre,4590,Residential,Norlane,Victoria,3214,/services/baptcare-coasthaven-community-4590
Baptcare Heritage Manor Community 3826,Baptcare Ltd,Balladong Lodge,3826,Residential,Morwell,Victoria,3840,/services/baptcare-heritage-manor-community-3826
Baptcare Karingal Community Care 8007,Baptcare Ltd,BethelHostelBethel HostelBethel Village Hostel,8007,Residential,Devonport,Tasmania,7310,/services/baptcare-karingal-community-care-8007
Baptcare Peninsula View Community 4041,Baptcare Ltd,Bethshan Gardens,4041,Residential,Frankston,Victoria,3199,/services/baptcare-peninsula-view-community-4041
Baptcare The Orchards Community 4567,Baptcare Ltd,BCS Caloola Centre,4567,Residential,Doncaster East,Victoria,3109,/services/baptcare-orchards-community-4567
Baptcare Wattle Grove Community 3557,Baptcare Ltd,BCS Carey Gardens CentreCarey Gardens Centre for Aged Care,3557,Residential,Lalor,Victoria,3075,/services/baptcare-wattle-grove-community-3557
BaptistCare Cooinda Court 0063,BaptistCare NSW & ACT,BCS Cooinda Court,0063,Residential,Macquarie Park,New South Wales,2113,/services/baptistcare-cooinda-court-0063
Baptistcare David Buttfield Centre 7275,Baptistcare WA Limited,David Buttfield Centre,7275,Residential,Gwelup,Western Australia,6018,/services/baptistcare-david-buttfield-centre-7275
BaptistCare Dorothy Henderson Lodge 0289,BaptistCare NSW & ACT,BCS Dorothy Henderson Lodge,0289,Residential,Macquarie Park,New South Wales,2113,/services/baptistcare-dorothy-henderson-lodge-0289
BaptistCare George Forbes House 0140,BaptistCare NSW & ACT,BCS George Forbes House,0140,Residential,Queanbeyan,New South Wales,2620,/services/baptistcare-george-forbes-house-0140
Baptistcare Graceford 7176,Baptistcare WA Limited,Graceford Hostel,7176,Residential,Byford,Western Australia,6122,/services/baptistcare-graceford-7176
Baptistcare Gracehaven 7914,Baptistcare WA Limited,Gracehaven Residential Aged Care Facility,7914,Residential,Rockingham,Western Australia,6168,/services/baptistcare-gracehaven-7914
Baptistcare Gracewood 7166,BaptistCare NSW & ACT,Gracewood,7166,Residential,Salter Point,Western Australia,6152,/services/baptistcare-gracewood-7166
BaptistCare Griffith 2983,BaptistCare NSW & ACT,BaptistCare Morling LodgeBCS Morling LodgeMorling Lodge,2983,Residential,Griffith,Australian Capital Territory,2603,/services/baptistcare-griffith-2983
BaptistCare Kularoo Centre 0255,BaptistCare NSW & ACT,BCS Kularoo Centre,0255,Residential,Forster,New South Wales,2428,/services/baptistcare-kularoo-centre-0255
BaptistCare Maranoa Centre - Alstonville 0003,BaptistCare NSW & ACT,BCS Maranoa Centre - Alstonville,0003,Residential,Alstonville,New South Wales,2477,/services/baptistcare-maranoa-centre-alstonville-0003
BaptistCare Mid Richmond Centre - Coraki 0047,Baptistcare WA Limited,BCS Mid Richmond Centre - CorakiBCS Mid Richmond Centre-CorakiMid Richmond Residents Village,0047,Residential,Coraki,New South Wales,2471,/services/baptistcare-mid-richmond-centre-coraki-0047
Baptistcare Mirrambeena 7296,Baptistcare WA Limited,Mirrambeena,7296,Residential,Margaret River,Western Australia,6285,/services/baptistcare-mirrambeena-7296
